// **KEY: NAME, INDEX, XCOORD_OF_IMAGE, YCOORD_OF_IMAGE. WHITESPACE NEUTRAL.**

BLACK,               0, 0, 0
FLOOR,               1, 5, 1
WALL,                2, 4, 3
PLAYER,              4, 6, 6
CHEST,               5, 2, 6   
POINT_OF_INTEREST,   6, 12, 7
PORTAL,              7, 11, 9
CHEST_OPEN,          8, 2, 7
EDITMODE_CURSOR,     9, 3, 18
//

NOTHING,             10, 1, 0 
WALL_PASSABLE,       11, 4, 3
WALL2,               12, 8, 2
WALL2_PASSABLE,      13, 8, 2
WALLDOOR_VER_OPEN,	 14, 9, 5 
WALLDOOR_VER_CLOSED, 15, 8, 5 
WALLDOOR_HOR_OPEN,	 16, 11, 5 
WALLDOOR_HOR_CLOSED, 17, 10, 5 
//
DOOR_OPEN,           20, 0, 5 
DOOR_CLOSED,         21, 1, 5 
GREEN_DOOR_OPEN,     22, 3, 10 
GREEN_DOOR_CLOSED,   23, 2, 10 
BLUE_DOOR_OPEN,      24, 3, 11 
BLUE_DOOR_CLOSED,    25, 2, 11 
RED_DOOR_OPEN,       26, 3, 12 
RED_DOOR_CLOSED,     27, 2, 12 
GREEN_KEYCARD,       28, 5, 5 
BLUE_KEYCARD,        29, 5, 6
RED_KEYCARD,         30, 5, 7 
GREEN_LEVER_OFF, 	31, 0, 10
GREEN_LEVER_ON, 	32, 1, 10
BLUE_LEVER_OFF, 	33, 0, 11
BLUE_LEVER_ON, 		34, 1, 11
RED_LEVER_OFF, 		35, 0, 12
RED_LEVER_ON, 		36, 1, 12
GREEN_KEY, 			37, 5, 10
BLUE_KEY,			38, 5, 11
RED_KEY, 			39, 5, 12
GREEN_CHEST_LOCKED,  40, 4, 5 
BLUE_CHEST_LOCKED,   41, 4, 6
RED_CHEST_LOCKED,    42, 4, 7 
LIGHT_OFF, 			43, 4, 13
LIGHT_GREEN,		44, 4, 10
LIGHT_BLUE,			45, 4, 11
LIGHT_RED,			46, 4, 12
GREEN_KEYPAD,		47, 9, 10
BLUE_KEYPAD,		48, 9, 11
RED_KEYPAD,			49, 9, 12
GREEN_KEYPAD_WRONG,	50, 10, 10
BLUE_KEYPAD_WRONG,	51, 10, 11
RED_KEYPAD_WRONG,	52, 10, 12
GREEN_KEYPAD_RIGHT,	53, 11, 10
BLUE_KEYPAD_RIGHT,	54, 11, 11
RED_KEYPAD_RIGHT,	55, 11, 12
GREEN_PLATE,		56, 13, 10
GREEN_PLATE_DOWN,	57, 13, 11
RED_PLATE,			58, 13, 12
RED_PLATE_DOWN,		59, 14, 10
BLUE_PLATE,			60, 14, 11
BLUE_PLATE_DOWN,	61, 14, 12

GATE_HOR_CLOSED,	62, 8, 13
GATE_HOR_OPEN,		63, 9, 13
GATE_VERT_CLOSED,	64, 10, 13
GATE_VERT_OPEN,		65, 11, 13

NOT_FOUND, 			 69, 3, 3
GLYPH_ENGRAVED,      70, 1, 6 
GLYPH_GLOW,          71, 0, 7
GLYPH_GLOWIER,       72, 1, 7

POWER_CORE_ITEM,	 75, 15, 13
GREEN_POWER_CORE_ON, 76, 16, 10
BLUE_POWER_CORE_ON,  77, 16, 11
RED_POWER_CORE_ON,   78, 16, 12

GREEN_POWER_CORE_OFF, 79, 17, 10
BLUE_POWER_CORE_OFF,  80, 17, 11
RED_POWER_CORE_OFF,   81, 17, 12

ANIMATION, 			 100, 1, 0
