WALL_GLYPH, GLYPH_ENGRAVED, {examine:what a strange symbol.}
GREEN_LEVER, GREEN_LEVER_OFF, {signal:GREEN,GREEN_LEVER_OFF,GREEN_LEVER_ON}
BLUE_LEVER, BLUE_LEVER_OFF, {signal:BLUE,BLUE_LEVER_OFF,BLUE_LEVER_ON}
RED_LEVER, RED_LEVER_OFF, {signal:RED,RED_LEVER_OFF,RED_LEVER_ON}

BLINKING_GREEN_LIGHT, ANIMATION, {animation:GREEN_LIGHT_BLINK}
BLINKING_BLUE_LIGHT, ANIMATION, {animation:BLUE_LIGHT_BLINK}
BLINKING_RED_LIGHT, ANIMATION, {animation:RED_LIGHT_BLINK}

GATE_GREEN_H, GATE_HOR_CLOSED, {gate_control:GREEN,GATE_HOR_CLOSED,GATE_HOR_OPEN}
GATE_GREEN_V, GATE_VERT_CLOSED, {gate_control:GREEN,GATE_VERT_CLOSED,GATE_VERT_OPEN}
GATE_RED_H, GATE_HOR_CLOSED, {gate_control:RED,GATE_HOR_CLOSED,GATE_HOR_OPEN}
GATE_RED_V, GATE_VERT_CLOSED, {gate_control:RED,GATE_VERT_CLOSED,GATE_VERT_OPEN}
GATE_BLUE_H, GATE_HOR_CLOSED, {gate_control:BLUE,GATE_HOR_CLOSED,GATE_HOR_OPEN}
GATE_BLUE_V, GATE_VERT_CLOSED, {gate_control:BLUE,GATE_VERT_CLOSED,GATE_VERT_OPEN}

GATE_NGREEN_H, GATE_HOR_OPEN, {gate_control:NOT_GREEN,GATE_HOR_CLOSED,GATE_HOR_OPEN}
GATE_NGREEN_V, GATE_VERT_OPEN, {gate_control:NOT_GREEN,GATE_VERT_CLOSED,GATE_VERT_OPEN}
GATE_NRED_H, GATE_HOR_OPEN, {gate_control:NOT_RED,GATE_HOR_CLOSED,GATE_HOR_OPEN}
GATE_NRED_V, GATE_VERT_OPEN, {gate_control:NOT_RED,GATE_VERT_CLOSED,GATE_VERT_OPEN}
GATE_NBLUE_H, GATE_HOR_OPEN, {gate_control:NOT_BLUE,GATE_HOR_CLOSED,GATE_HOR_OPEN}
GATE_NBLUE_V, GATE_VERT_OPEN, {gate_control:NOT_BLUE,GATE_VERT_CLOSED,GATE_VERT_OPEN}
